title,category,tags,description,image,duration_txt,duration_sec,first_broadcast,synopsis_small,synopsis_medium,synopsis_large
Inside Cinema - Shorts:,Documentaries,"BBC, iPlayer, TV, Inside Cinema, Shorts: 76. The B Word",The B in LGBTQ+ sometimes gets shortchanged in cinema - Catherine Bray asks why.,https://ichef.bbci.co.uk/images/ic/1200x675/p09xwbv2.jpg,7 mins,437,13 Oct 2021,The B in LGBTQ+ sometimes gets shortchanged in cinema - Catherine Bray asks why.,"Just because cinema doesn’t feature loads of out and proud bisexuals in lead roles, doesn’t mean bisexuality doesn’t exist! Catherine Bray explores bisexual representation in film","People who are actually attracted to more than one gender are everywhere in the real world, whether they decide to call themselves straight, homosexual, bisexual, pansexual — or prefer not to label their sexuality. But bisexuality is more often hinted at or implied in cinema, and when bisexuality is mentioned by name, it’s not always exactly flattering. But just because the movies don’t feature loads of out and proud bisexuals in lead roles, doesn’t mean bisexual behaviour, coded or otherwise, isn’t a big part of cinema — whether or not the B-word is ever mentioned. Catherine Bray looks at bisexuality onscreen, to see how bisexuals have been characterised — and mischaracterised — in pop culture."
World's End,CBBC,"BBC, iPlayer, TV, Worlds End, 35. Beyond Hope",Caseys selfish game plan becomes very clear and Noah has to make a big decision.,https://ichef.bbci.co.uk/images/ic/1200x675/p02qsgjc.jpg,13 mins,765,14 May 2015,Casey's selfish game plan becomes very clear and Noah has to make a big decision.,"Drama series. Casey's previous lie to Moira has sent her to the castle for help, while Lexy, Gaia and Lucky the dog join the search for Gregor.","Casey's selfish game plan becomes very clear and Noah has to make a big decision. Casey's previous lie to Moira has sent her desperate to the castle for help, and Lexy, Gaia and Lucky the dog join the search for Gregor. Down in the SZ, Casey seems to have the upper hand. He condemns them all to the asteroid's impact."
So Awkward - Still So Awkward:,Signed,"BBC, iPlayer, TV, So Awkward, Still So Awkward: 2. Monological","Lily and Claire compete in a monologue slam, and Seb gets ready to surprise his flatmates.",https://ichef.bbci.co.uk/images/ic/1200x675/p09q7c9k.jpg,28 mins,1689,26 Jul 2021,"Lily and Claire compete in a monologue slam, and Seb gets ready to surprise his flatmates.","Lily and Claire compete in a monologue slam, Frankie and Samson try to help Seb fall in love with agriculture, and Seb and Josh prepare a surprise.",No data found
Andy's Prehistoric Adventures,Signed,"BBC, iPlayer, TV, Andys Prehistoric Adventures, 22. Paraceratherium and Skin",Andy meets the largest mammal ever to walk the earth in prehistoric Mongolia.,https://ichef.bbci.co.uk/images/ic/1200x675/p07hy0wz.jpg,14 mins,828,4:30pm 14 Jun 2016,Andy meets the largest mammal ever to walk the earth in prehistoric Mongolia.,Preschool adventure series. Andy meets the largest mammal ever to walk the earth when he travels back to Mongolia thirty million years in the distant past.,Andy meets the largest mammal ever to walk the earth when he travels back to Mongolia 30 million years in the distant past. On his travels he has a night-time run-in with some hungry hyaenodons and helps a baby paraceratherium out of a sticky situation.
The Baby Club - At Home:,Signed,"BBC, iPlayer, TV, The Baby Club, At Home: 17. Outside Play",Ideas for activities to do outside with your little one!,https://ichef.bbci.co.uk/images/ic/1200x675/p08mhh0j.jpg,6 mins,347,9:25am 1 Aug 2020,Ideas for activities to do outside with your little one!,"Hosted by Giovanna from her own home, learn how being out in the fresh air helps to stimulate your baby’s senses and gives you both a change of scenery!",No data found
Andy's Dinosaur Adventures,Signed,"BBC, iPlayer, TV, Andys Dinosaur Adventures, 14. Brachiosaurus and Monkey Puzzle",Andy travels back 150 million years to the time of brachiosaurus.,https://ichef.bbci.co.uk/images/ic/1200x675/p07hxs7c.jpg,14 mins,835,6 Mar 2014,Andy travels back 150 million years to the time of brachiosaurus.,Children's dinosaur history series. Andy travels back 150 million years to the time of brachiosaurus.,"Andy travels back 150 million years to the time of brachiosaurus - a huge plant-eating dinosaur measuring 26 metres from nose to tail. His mission is to find a branch of a monkey puzzle tree - the favourite food of a brachiosaurus. But they are over 40 metres tall with no low branches - will Andy get his hands on one? And if he does, will he make it back to the museum in time before it opens?"
The Toddler Club - At Home:,Signed,"BBC, iPlayer, TV, The Toddler Club, At Home: 1. Routines",See how talking about things you do regularly helps your toddler feel safe and secure.,https://ichef.bbci.co.uk/images/ic/1200x675/p0936mwn.jpg,10 mins,614,10:20am 11 Jan 2021,See how talking about things you do regularly helps your toddler feel safe and secure.,See how talking about things you do regularly helps your toddler feel safe and secure. Giovanna hosts from her own home. Join in with the Toddler Club Bop!,No data found
Teeny Tiny Creatures - Chantelle and Rory:,Signed,"BBC, iPlayer, TV, Teeny Tiny Creatures, Chantelle and Rory: 8. Bats","Chantelle is a bat detective, while Rory and Sandy are out looking for bat clues.",https://ichef.bbci.co.uk/images/ic/1200x675/p0b6cwc9.jpg,14 mins,842,6 Dec 2021,"Chantelle is a bat detective, while Rory and Sandy are out looking for bat clues.","Rory and Sandy are out looking for bat clues, while Chantelle is in London being a bat detective. Find out how bats help the planet and try this Teeny Tiny Task: make a bat poster.","Aness wants to find out about brilliant bats. Chantelle is in London to meet Sophie for a night-time adventure as bat detectives, while Rory and his son Sandy are at a country park looking for bat clues.Chantelle and Rory’s fact files explain how bats fly, why they hang upside down, how many kinds of bats there are and what they eat. It’s also time to find out how bats help the planet as predators and pest controllers. Sandy’s friend Zoe joins for this episode’s Teeny Tiny Task – making a brilliant bat poster."
Our Family - Our Family Fun:,Signed,"BBC, iPlayer, TV, Our Family, Our Family Fun: 3. Audrey Plays Table Tennis",Audrey has a table tennis lesson with her coach Harry. How will Audrey do?,https://ichef.bbci.co.uk/images/ic/1200x675/p09xcbb8.jpg,3 mins,177,4:43pm 24 Aug 2021,Audrey has a table tennis lesson with her coach Harry. How will Audrey do?,Audrey has a table tennis lesson with her coach Harry. How will Audrey do?,Audrey has a table tennis lesson with her coach Harry. How will Audrey do?
The Great War Interviews,History,"BBC, iPlayer, TV, The Great War Interviews, 10. Horace Leslie Birks",Tank commander Horace Leslie Birks recalls what it was like in the first tanks.,https://ichef.bbci.co.uk/images/ic/1200x675/p01t62dz.jpg,19 mins,1150,10 Mar 2014,Tank commander Horace Leslie Birks recalls what it was like in the first tanks.,"Tank commander Horace Leslie Birks recalls his nerves when commanding a tank at Passchendaele, and the battle of Cambrai, the first battle to use tanks en masse.","Horace Leslie Birks sailed for France in 1915 as a Private with the 5th Batallion of the London Rifle Brigade. Having been wounded at Gommecourt in July 1916, he was transferred to the Machine Gun Crops heavy branch and became a Second Lieutenant in February 1917.He recalls his nervousness when first ordered to command a tank in action at Passchendaele, and what it was like to operate inside those hot, steamy and altogether claustrophobic cockpits while machine gun fire and shells rained down. Next came Cambrai, the first battle to use tanks en masse."
