title,category,tags,description,image,duration_txt,duration_sec,first_broadcast,synopsis_small,synopsis_medium,synopsis_large,theme
Black and British: A Forgotten History,Documentaries,"BBC, iPlayer, TV, Black and British: A Forgotten History, 2. Freedom",David Olusoga looks at slavery and remembers black sailors who fought for Britain.,https://ichef.bbci.co.uk/images/ic/1200x675/p04gpnbs.jpg,59 mins,3538,9pm 16 Nov 2016,David Olusoga looks at slavery and remembers black sailors who fought for Britain.,"In the second part of his four-part series, historian David Olusoga explores the business of slavery and remembers the black sailors who fought for Britain at Trafalgar.","In the second part of his four-part series, historian David Olusoga explores the business of slavery and remembers the black sailors who fought for Britain at Trafalgar.He also celebrates a Georgian boxing superstar and the men and women who crossed continents in pursuit of freedom.",Black British
Caribbean Food Made Easy,Food,"BBC, iPlayer, TV, Caribbean Food Made Easy, Episode 2",Levi Roots cooks hot pepperpot stew and serves up kebabs with a tropical twist.,https://ichef.bbci.co.uk/images/ic/1200x675/p01l4fzl.jpg,29 mins,1756,8:30pm 31 Aug 2009,Levi Roots cooks hot pepperpot stew and serves up kebabs with a tropical twist.,"Levi Roots cooks hot pepperpot stew with his mother, and tries his hand at the delicate art of nouvelle Caribbean cuisine.","Levi Roots cooks hot pepperpot stew with his mother, tries his hand at the delicate art of nouvelle Caribbean cuisine, and there's a surprise for a hungry audience of clubbers when Levi serves up kebabs with a tropical twist.",Black British
The Caribbean with Andi and Miquita,Documentaries,"BBC, iPlayer, TV, The Caribbean with Andi and Miquita, Series 1: Episode 2",Andi and Miquita travel to Barbados as the island prepares to become a republic.,https://ichef.bbci.co.uk/images/ic/1200x675/p0bkdvfl.jpg,60 mins,3573,9pm 30 Jan 2022,Andi and Miquita travel to Barbados as the island prepares to become a republic.,"Andi and Miquita travel to Barbados as this most British of Caribbean islands prepares to become a republic, cutting ties with the UK. They also explore their roots as they receive DNA test results.","Andi and Miquita travel to Barbados as this most British of Caribbean islands prepares to become a republic, cutting ties with the UK.The duo meet anti-colonial calypso star the Mighty Gabby and his son for a moving musical performance and discuss why forging a new identity is so important for Barbados. Further immersing themselves in Bajan culture, Andi and Miquita go swimming with horses and enjoy local food and breakfast rum with soca stars Peter Ram and Alison Hinds.As progressive prime minister Mia Mottley is preparing to modernise the constitution, which still outlaws gay sex, Andi and Miqutia meet members of the LGBTQ+ community to talk about the island's first pride marches. They also have an unsettling meeting with the descendants of slave owners at a plantation house, where they have tea with resident Brits and tourists who remain a powerful force on the island and get their perspectives on republicanism and the modernisation of Barbados.Finally, they engage in a moving exploration of their African roots when they receive their DNA results and visit Ngozi Farm, where African culture and its connection to the Caribbean is celebrated.",Black British
"Salt, by Selina Thompson",Arts,"BBC, iPlayer, TV, Salt, by Selina Thompson",Artist Selina Thompson recalls her journey by sea to retrace a route of the slave trade.,https://ichef.bbci.co.uk/images/ic/1200x675/p09z0lbj.jpg,46 mins,2733,9pm 24 Oct 2021,Artist Selina Thompson recalls her journey by sea to retrace a route of the slave trade.,"Performance artist Selina Thompson recreates her award-winning and deeply personal monologue about her journey by cargo ship, retracing the route of the transatlantic slave trade.","Performance artist Selina Thompson recreates her award-winning dramatic monologue about a journey she made by cargo ship to retrace the triangular route of the transatlantic slave trade. Poetic and deeply personal, Salt is part testimony, part performance and part excavation of collective memory through archive and music.Throughout the film, Thompson explores her painfully difficult but ultimately redemptive exploration of the Atlantic triangle, and in doing so, takes us on a cathartic pilgrimage through grief, race and identity. Darkly comic in places but also intensely sad, Salt is Thompson’s deeply human response to being both British and a descendant of a people enslaved by the British.Central to Salt is Thompson’s physical performance of her monologue. She plays a character, known simply as The Woman, who pounds great rocks of salt, tells profound stories and makes wry observations. The Woman allows Thompson’s particular journey and personal experience to hold a greater resonance, representing the afterlife of slavery and colonialism. The salt the Woman breaks down into manageable pieces embodies that shared experience – the labour of negotiating racism, the tears, the sweat, the healing. The salt is also of the sea, itself a character in the piece that plays witness to the atrocities of the Middle Passage.Complementing Thompson’s performance is a revealing, unflinchingly honest and at times humorous interview conducted by Afua Hirsch.Thompson describes her journey, reflecting on the feelings and thoughts that defined her experience at the time, as well as her meditations now, five years after the original journey. She is an exceptional storyteller and her candidness, vivid powers of description and facility with language give Salt a raw and powerful intimacy. Recalled in distinct chapters, Thompson’s journey takes her by sea from Belgium to Ghana, on to Jamaica and finally back across the Atlantic to Europe. She set out on this extraordinary journey not to try to experience the horror of the Middle Passage, but to ‘sit with it’, to commemorate the dead. Part way through her journey, that grieving process takes on an additional significance with the death of her beloved grandmother. In exploring the past and its lasting legacy, Thompson is also looking for new definitions of home on the three continents she visits, having been told variously her whole life that all of them and none of them were home. Footage of James Baldwin and Stuart Hall, who themselves grappled with this history and its afterlife, speaks to the inspiration and comfort Thompson drew from the black cultural archive and its distinct and rigorous legacy. In Europe, Selina’s place of birth, she examines what it means to be black in a country that must grapple with its leading role in, and lasting benefits from, both slavery and colonialism. Her first sea voyage, where she encounters toxic racism and the abuse of power, becomes a contemporary replica of empire. In Ghana, she explores the complexities of grief and remembrance, and what it means to commemorate a history and a people defined by absence. On her journey between Africa and the Caribbean, she confronts her own privilege and power, granted to her by her British passport.In Jamaica, the country of her grandparents’ birth, she reflects on the nature of diasporic identity, on an island where most people’s ancestors came from somewhere else. On the final leg of her journey, overwhelmed by the weight of history and its ongoing legacy, she reaches a point of crisis, but ultimately, she does find home. Her long journey back into the past allows her, at last, to go forwards, as she closes with the quiet demand that we reckon with the past so that we can all do the same. Salt is a deeply moving account of a young woman grappling with the afterlife of slavery and colonialism. The artist in Thompson creates a performance that somehow makes the overwhelming and unsurmountable bearable for her. Steeped in anger but delivered with the lightest of touches, Salt in its essence is about love and family, whether those bonds are biological, chosen through adoption or simply the bonds inherent within the black community. In exposing her pain, and her path towards healing, Thompson lays bare a rare yet vital truth.",Black British
Coming to England,CBBC,"BBC, iPlayer, TV, Coming to England",A story of a Windrush generation girl who came to Britain in 1960 from the Caribbean.,https://ichef.bbci.co.uk/images/ic/1200x675/p06frnpz.jpg,58 mins,3460,6pm 2 Aug 2018,A story of a Windrush generation girl who came to Britain in 1960 from the Caribbean.,"A story of a Windrush generation girl who came to Britain in 1960 from the Caribbean. Adapted from the book Coming to England, which was written for children everywhere.","A story of a Windrush generation girl who came to Britain in 1960 from the Caribbean. Adapted from the book Coming to England, which was written for children everywhere.",Black British
Black Is the New Black,Documentaries,"BBC, iPlayer, TV, Black Is the New Black, Episode 4",Our cast of extraordinary black Britons are facing today and the future.,https://ichef.bbci.co.uk/images/ic/1200x675/p08hrzf5.jpg,29 mins,1740,10pm 27 Nov 2016,Our cast of extraordinary black Britons are facing today and the future.,"Documentary series celebrating Britain's black community. In the final episode, our cast of extraordinary black Britons are facing today and the future.","In episode four, our cast of extraordinary black Britons are facing today and the future.Naomi Campbell, Dizzee Rascal, David Harewood, Tinie Tempah, Trevor Nelson, Sir Trevor MacDonald and Alesha Dixon are amongst the stand-out stars of this film talking about where we have reached today on the Black-British journey. Our cast talk mostly of their pride in being British and their love for the country as epitomised at the phenomenon of the 2012 London Olympics, where black athletes wrapped themselves in the Union Jack and decades of racism seemed to be on the path to being put firmly in the past.The contributors discuss how inspiring the Obama effect has been and what that means to them, but are then also brought back to reality by the saddening occurrence of Brexit. We forecast to the future of Black Britain and what that looks like for our younger cast, for our dual-heritage talent and for those whose children are the future of the country.",Black British
The Unwanted: The Secret Windrush Files,Documentaries,"BBC, iPlayer, TV, The Unwanted: The Secret Windrush Files",David Olusoga opens secret government files to explore the Windrush scandal.,https://ichef.bbci.co.uk/images/ic/1200x675/p07jhxl8.jpg,59 mins,3535,24 Jun 2019,David Olusoga opens secret government files to explore the Windrush scandal.,How black immigrants who made Britain their home came face to face with the government's 'hostile environment'. David Olusoga exposes the secret files behind the Windrush scandal.,"David Olusoga opens secret government files to show how the Windrush scandal and the ‘hostile environment’ for black British immigrants has been 70 years in the making. The film features Sarah O’Connor, Anthony Bryan and Judy Griffith. Settled here legally since childhood, they were re-classified as illegal immigrants by new ‘hostile environment’ regulations. Unable to show proof of their nationality status, they lost jobs, savings and their health, facing deportation back to countries they could barely remember. David reveals how today’s scandal is rooted in the secrets of the past. The first Windrush generation were Commonwealth citizens - many of them ex-servicemen - coming to rebuild war-torn Britain. Yet even before arriving, they were viewed by the government with hostility. Civil servants and MPs warned of dire consequences if what they called a ‘coloured element’ was introduced into the UK. PM Clement Attlee even suggested diverting the Windrush passengers to east Africa - to pick peanuts. The same government was actively recruiting tens of thousands of white volunteer workers from Europe - some of them former members of Waffen-SS regiments which stood accused of war crimes on the Eastern Front - for ‘permanent settlement here with a view to their inter-marrying and complete absorption into our own working population’. The files expose how successive British governments spent the next decade trying to devise a way to prevent further Caribbean arrivals without appearing to discriminate against them. PM Winston Churchill, dissatisfied with ministers’ response to what he saw as a serious problem, kept the issue on the cabinet agenda and a special Working Party was set up to gather information to make the political case for immigration controls. Two weeks after the Queen’s coronation as head of the UK and Commonwealth, a secret race survey was undertaken and completed, looking for proof that Commonwealth immigrants were a burden on the welfare state. Chief constables in major cities were asked if ‘the coloured community as a whole, or particular sections of it, are generally idle or poor workmen’, and if they were ‘addicted to drug-trafficking or other types of crime’. The Working Party found no evidence for the view that the ‘coloured community’ was less law-abiding or hard working than other Brits.  When Harold Macmillan’s government introduced the 1962 Immigration Act, its control mechanism was the employment prospects of would-be immigrants. The files show how home secretary ‘Rab’ Butler, described the ‘great merit’ of the scheme was that it ‘can be presented as making no distinction on grounds of race or colour’, but would, in practice, ‘operate on coloured people almost exclusively’. By that time, Caribbean immigration had shrunk to a fraction of earlier levels. But, fearing further restrictions, the Windrush generation now arranged for their children to come. The ‘children of the Windrush' had full legal rights to join their parents in the UK, and many arrived with little paperwork or official record keeping.  Successive governments passed new immigration and nationality legislation, often in response to perceived ‘problems’ or ‘crises’. Harold Wilson rushed through the 1968 Immigration Act, in just three days to stop arrivals of thousands of passport-holding British-Indians living in Kenya, whose businesses and livelihoods were threatened by its government. Edward Heath’s 1971 Act tried to restrict the legal definition of ‘Britishness’. It also placed the burden of proof on the claimant should their Britishness be challenged - a fateful clause for the ‘children of the Windrush’.  Throughout the multiple changes to immigration and nationality law enacted up to 2014, the nationality status of the ‘children of Windrush’ remained unchanged and unchallenged. As British citizens with full legal rights to live here, they put down roots, pursued careers, raised children and grandchildren and contributed in ways great and small to the creation of modern Britain. But with the introduction of the so-called ‘hostile environment’ legislation of 2014 and 2016, their situation changed. Though they were never the intended targets of the new laws, the hostile environment machine that evolved over the decade wasn’t designed to make allowances. Suddenly required to prove their status (due to the 1971 Act), Sarah, Anthony and Judy found themselves unable to show the levels of proof demanded by the new ‘hostile environment’ regulations. All three lost their jobs for up to two years and ran up debt trying to make ends meet. Anthony was arrested twice by Immigration Officers and held for weeks in detention centres. Then a ticket was bought to deport him to Jamaica, a country hadn’t seen since he left, aged eight, in 1965. ‘They broke me in there,’ Anthony says. ‘It was hard.’ Judy Griffith, still struggling to repay her debts, says: ‘It makes you question the whole, what is British? What is Britishness?’",Black British
1Xtra - Made In Britain: UKG,Entertainment,"BBC, iPlayer, TV, 1Xtra, Made In Britain: UKG",Leading figures give the inside track on the UKG scene that exploded in 1990s,https://ichef.bbci.co.uk/images/ic/1200x675/p09vn3f7.jpg,14 mins,850,1 Sep 2021,Leading figures give the inside track on the UKG scene that exploded in 1990s,How is it that Britain has been such a game changer when it comes to creating original music genres that then go on to have such a huge impact on the world?,"How is it that Britain, one little island in the middle of nowhere, has been such a game changer when it comes to creating original music genres that give birth to entire new underground cultures which then go on to have such a huge impact on the world?  London – the crowning example of the uniquely British inner city mash up of race, class and culture – has been the crucible for a series of original and unique music genres and pop culture lifestyles that have set the world alight. The recipe has been further enriched by contributions from other key urban centres – cities like Bristol and Birmingham, Manchester and Leeds. Inspired by the bass heavy rhythms of Jamaican sound systems, fused with the culture, fashion, slang and attitude of the Caribbean, West Africa, Asia and America, fueled by a never-ending soundtrack of pirate radio, and led by successive generations of entrepreneurs, hustlers and maverick visionaries, the whole world has moved to the beats of underground music and club culture made right here, in Britain.  This is the story of Jungle, UKG and Grime – three massive underground music scene that were all ‘Made in Britain.’ These more recent genres exploded from the streets, pirate radio stations and council estates of London and the UK’s inner cities over a period of just a few years in the 1990s. All three gave birth to their own unique sounds, creating a generation of stars, fashions, club scenes and fortunes and all three never quite vanished. Their beats, flows and attitude can still be heard in tunes being made today.  Each episode gives the inside track one of the genres, as told by some of the leading figures who created these underground movements in the first place, in conversation with Ron Samuels, himself a leading light of the original 90s Jungle scene as DJ Ron, and now a documentary director.",Black British
A Musical Family Christmas with the Kanneh-Masons,Music,"BBC, iPlayer, TV, A Musical Family Christmas with the Kanneh-Masons",A look at Christmas with the talented Kanneh-Mason family.,https://ichef.bbci.co.uk/images/ic/1200x675/p0bbrns9.jpg,59 mins,3536,8:35pm 25 Dec 2021,A look at Christmas with the talented Kanneh-Mason family.,"A look at Christmas with the talented Kanneh-Mason family, seven brothers and sisters who are taking the classical music world by storm.","A look at Christmas with the talented Kanneh-Mason family, seven brothers and sisters who are taking the classical music world by storm. Coming home to Nottingham to celebrate, their unique seasonal celebration is an exciting fusion of family traditions from the UK, Sierra Leone and the Caribbean. They perform their favourite festive music such as Mary’s Boy Child, We Three Kings, Santa Baby, Sugar Plum Fairy and In the Bleak Midwinter, as well as versions of Bob Marley’s Who the Cap Fit, Leonard Cohen’s Hallelujah and Eric Whitacre’s The Seal Lullaby.",Black British
Sir Mortimer and Magnus,From the Archives,"BBC, iPlayer, TV, Sir Mortimer and Magnus, 4. In the Steps of Alexander","Sir Mortimer Wheeler talks about his journey to Pushkalavati, in Pakistan. (1974)",https://ichef.bbci.co.uk/images/ic/1200x675/p0182pd1.jpg,15 mins,912,10 Oct 1974,"Sir Mortimer Wheeler talks about his journey to Pushkalavati, in Pakistan. (1974)","First transmitted in 1974, Magnus Magnusson talks to Sir Mortimer Wheeler about his discoveries at Pushkalavati - the 'Lotus City' at the foot of the Khyber Pass - in 1958.","First transmitted in 1974, Magnus Magnusson talks to Sir Mortimer Wheeler about his discoveries at Pushkalavati.In the year 327BC Alexander the Great conquered Pushkalavati, the 'Lotus City' at the foot of the Khyber Pass. Upon invitation by the Government of Pakistan Sir Mortimer Wheeler travelled to the site in 1958 and commenced what was to be his last excavation.Sir Mortimer recalls the excavation and reveals how he arranged for the Pakistan Air Force to photograph the site, leading to ""the greatest discovery made in the frontier of Pakistan for perhaps 100 years.""",Asian British
